0번째 학습, 313, 401, 554
1번째 학습, 147, 669, 717
2번째 학습, 188, 199, 303
3번째 학습, 196, 481, 638
5번째 학습, 622, 629, 635
0번째 학습, 222, 474, 757
1번째 학습, 131, 208, 220
0번째 학습, 126, 326, 636
1번째 학습, 239, 432, 498
0번째 학습, 138, 373, 641
1번째 학습, 173, 196, 375
2번째 학습, 277, 633, 984
3번째 학습, 556, 672, 1166
4번째 학습, 200, 403, 740
0번째 학습, 227, 462, 850
0번째 학습, 287, 418, 862
1번째 학습, 185, 509, 690
3번째 학습, 191, 478, 565
4번째 학습, 203, 445, 652
5번째 학습, 143, 297, 682
6번째 학습, 95, 107, 513
7번째 학습, 286, 1012, 1023
8번째 학습, 279, 947, 1005
9번째 학습, 254, 865, 1323
10번째 학습, 213, 476, 622
11번째 학습, 192, 280, 448
12번째 학습, 194, 524, 711
16번째 학습, 181, 278, 377
4번째 학습, 404, 970, 1057
6번째 학습, 392, 591, 1137
7번째 학습, 124, 306, 442
10번째 학습, 320, 581, 610
11번째 학습, 370, 452, 646
0번째 학습, 139, 383, 464
1번째 학습, 230, 452, 645
2번째 학습, 454, 472, 628
3번째 학습, 604, 625, 662
4번째 학습, 203, 370, 506
5번째 학습, 743, 808, 823
6번째 학습, 292, 366, 535
7번째 학습, 153, 527, 793
9번째 학습, 437, 447, 460
0번째 학습, 429, 664, 689
1번째 학습, 429, 544, 561
2번째 학습, 219, 586, 676
3번째 학습, 170, 430, 533
4번째 학습, 283, 427, 443
0번째 학습, 168, 178, 192
1번째 학습, 218, 237, 480
0번째 학습, 341, 522, 765
1번째 학습, 181, 250, 444
2번째 학습, 230, 302, 440
3번째 학습, 174, 538, 559
4번째 학습, 170, 360, 472
5번째 학습, 78, 210, 443
6번째 학습, 134, 160, 198
7번째 학습, 305, 567, 583
8번째 학습, 170, 597, 677
9번째 학습, 167, 271, 342
10번째 학습, 155, 503, 769
12번째 학습, 227, 604, 714
14번째 학습, 313, 382, 405
15번째 학습, 140, 237, 474
16번째 학습, 169, 181, 441
0번째 학습, 242, 260, 275
2번째 학습, 238, 720, 990
3번째 학습, 302, 702, 861
4번째 학습, 331, 442, 505
5번째 학습, 214, 464, 714
6번째 학습, 290, 470, 638
7번째 학습, 227, 367, 688
8번째 학습, 163, 332, 354
10번째 학습, 173, 390, 516
11번째 학습, 280, 474, 685
12번째 학습, 216, 280, 591
13번째 학습, 509, 876, 899
14번째 학습, 219, 241, 438
15번째 학습, 167, 357, 868
16번째 학습, 170, 266, 377
17번째 학습, 563, 826, 967
2번째 학습, 178, 188, 191
0번째 학습, 149, 282, 354
0번째 학습, 139, 472, 710
0번째 학습, 181, 438, 665
0번째 학습, 401, 501, 748
0번째 학습, 243, 989, 1236
1번째 학습, 81, 184, 602
2번째 학습, 107, 361, 452
3번째 학습, 173, 189, 427
4번째 학습, 268, 593, 952
0번째 학습, 302, 538, 1267
1번째 학습, 191, 483, 1161
2번째 학습, 407, 551, 1203
0번째 학습, 212, 297, 561
1번째 학습, 131, 356, 518
2번째 학습, 153, 355, 483
4번째 학습, 154, 165, 353
5번째 학습, 141, 212, 356
6번째 학습, 192, 332, 352
7번째 학습, 343, 597, 670
8번째 학습, 190, 201, 403
