161, 213, 232
120, 172, 202
53, 66, 75
93, 155, 215
128, 231, 245
139, 230, 292
1, 1, 1
70, 128, 177
1, 1, 1
92, 137, 166
167, 236, 367
118, 166, 203
115, 164, 194
1, 1, 1
237, 254, 277
132, 245, 480
58, 154, 325
71, 104, 126
54, 99, 123
1, 1, 1
55, 176, 233
105, 157, 288
84, 133, 153
161, 227, 256
93, 237, 311
44, 59, 216
64, 157, 299
91, 111, 147
100, 180, 236
86, 132, 154
37, 172, 201
164, 254, 469
42, 117, 173
176, 277, 297
90, 136, 181
39, 51, 98
163, 235, 345
151, 233, 316
56, 155, 344
149, 172, 317
147, 236, 388
193, 295, 344
99, 144, 411
48, 122, 173
156, 164, 225
242, 317, 468
89, 126, 145
156, 307, 366
164, 194, 425
1, 1, 1
87, 94, 201
304, 365, 430
146, 236, 389
78, 90, 230
108, 122, 166
136, 190, 387
270, 370, 423
140, 210, 255
147, 185, 202
106, 140, 328
218, 235, 376
35, 92, 165
75, 103, 162
77, 84, 129
117, 256, 287
194, 338, 365
170, 176, 373
43, 50, 68
96, 111, 145
138, 164, 303
139, 176, 436
191, 210, 399
48, 133, 474
79, 119, 251
1, 1, 1
239, 245, 385
57, 160, 277
218, 273, 397
92, 160, 221
100, 121, 156
202, 246, 326
238, 262, 270
133, 265, 492
228, 317, 400
30, 54, 260
124, 153, 219
212, 314, 391
128, 186, 200
1, 1, 1
1, 1, 1
200, 273, 329
162, 249, 336
83, 155, 243
92, 151, 196
94, 116, 144
77, 138, 176
252, 355, 368
222, 290, 323
255, 281, 445
35, 77, 212
186, 220, 220
309, 338, 402
280, 356, 472
121, 199, 230
177, 202, 232
120, 130, 151
62, 122, 133
108, 131, 154
1, 1, 1
79, 162, 267
64, 82, 225
150, 258, 295
77, 118, 140
50, 73, 221
33, 121, 188
91, 190, 211
211, 389, 418
124, 148, 233
147, 193, 352
1, 1, 1
209, 339, 471
78, 92, 125
237, 294, 352
240, 355, 367
95, 155, 182
109, 210, 378
77, 192, 248
189, 272, 346
89, 108, 118
148, 211, 218
111, 246, 263
75, 147, 184
96, 146, 354
256, 292, 338
137, 198, 296
217, 255, 415
158, 221, 323
66, 190, 325
65, 77, 137
107, 124, 136
137, 229, 248
22, 40, 160
139, 200, 244
54, 166, 204
73, 258, 375
164, 239, 250
122, 138, 177
215, 226, 384
316, 416, 487
128, 152, 185
92, 230, 448
77, 110, 137
158, 191, 487
53, 99, 307
85, 148, 368
266, 288, 339
138, 234, 298
73, 86, 132
83, 129, 191
66, 158, 173
352, 429, 480
99, 144, 181
1, 1, 1
99, 156, 310
36, 65, 148
360, 433, 468
262, 350, 473
32, 137, 143
25, 217, 237
1, 1, 1
1, 1, 1
182, 215, 294
37, 80, 325
84, 117, 166
321, 357, 483
177, 205, 226
245, 313, 336
28, 50, 118
1, 1, 1
133, 203, 247
106, 119, 318
119, 137, 145
67, 105, 115
74, 129, 295
40, 212, 305
226, 251, 264
124, 296, 393
142, 210, 216
253, 275, 312
96, 112, 137
75, 182, 237
99, 139, 152
136, 151, 181
130, 182, 409
286, 449, 494
58, 106, 162
126, 141, 213
139, 202, 223
219, 319, 342
95, 126, 148
54, 114, 126
54, 137, 394
189, 285, 322
124, 144, 165
59, 82, 156
77, 152, 159
