161, 213, 232
120, 172, 202
53, 66, 75
93, 155, 215
128, 231, 245
139, 230, 292
1, 1, 1
70, 128, 177
1, 1, 1
92, 137, 166
167, 236, 367
118, 166, 203
115, 164, 194
1, 1, 1
237, 254, 277
132, 245, 480
58, 154, 325
71, 104, 126
54, 99, 123
1, 1, 1
55, 176, 233
105, 157, 288
84, 133, 153
161, 227, 256
93, 237, 311
44, 59, 216
64, 157, 299
91, 111, 147
100, 180, 236
86, 132, 154
37, 172, 201
164, 254, 469
42, 117, 173
176, 277, 297
90, 136, 181
39, 51, 98
163, 235, 345
151, 233, 316
56, 155, 344
149, 172, 317
147, 236, 388
193, 295, 344
99, 144, 411
48, 122, 173
156, 164, 225
242, 317, 468
230, 349, 500
35, 72, 285
134, 148, 154
